  preface 1: div: head	MS::28:37:54: 8, 8, 0	28::MS:37:54: 8, 5, 8	37::MS:28:54: 8, 5, 8	54::MS:28:37: 0, 8, 8
act 2 scene 1: sp: l 485	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: l: stage	MS::28:37:54: 19, 19, 0	28::MS:37:54: 19, 0, 19	37::MS:28:54: 19, 0, 19	54::MS:28:37: 0, 19, 19
act 2 scene 1: sp: l 485	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 487	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 1: sp: l 488	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 489	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 1: sp: l 489	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 490	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 491	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 2 scene 1: sp: l 494	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 496	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 500	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 500	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 1, 2, 2
act 2 scene 1: sp: l 501	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 501	MS::28:37:54: 0, 0, 4	28::MS:37:54: 0, 0, 4	37::MS:28:54: 0, 0, 4	54::MS:28:37: 4, 4, 4
act 2 scene 1: sp: l 501	MS::28:37:54: 0, 0, 4	28::MS:37:54: 0, 0, 4	37::MS:28:54: 0, 0, 4	54::MS:28:37: 4, 4, 4
act 2 scene 1: sp: l 505	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 506	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 1: sp: l 507	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 507	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 507	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 507	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 507	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 508	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: div: stage	MS::28:37:54: 6, 6, 6	28::MS:37:54: 6, 0, 3	37::MS:28:54: 6, 0, 3	54::MS:28:37: 6, 3, 3
act 2 scene 1: sp: stage	MS::28:37:54: 14, 14, 0	28::MS:37:54: 14, 0, 14	37::MS:28:54: 14, 0, 14	54::MS:28:37: 0, 14, 14
act 2 scene 1: sp: l 509	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: l: stage	MS::28:37:54: 21, 21, 21	28::MS:37:54: 21, 0, 0	37::MS:28:54: 21, 0, 0	54::MS:28:37: 21, 0, 0
act 2 scene 1: sp: l 509	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 1: sp: l 514	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 515	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 516	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 1: sp: l 519	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 521	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 521	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 521	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: sp: l 522	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 1: div: stage	MS::28:37:54: 3, 3, 0	28::MS:37:54: 3, 0, 3	37::MS:28:54: 3, 0, 3	54::MS:28:37: 0, 3, 3
act 2 scene 2: div: stage	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: div: stage	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 2 scene 2: sp: stage	MS::28:37:54: 5, 5, 0	28::MS:37:54: 5, 0, 5	37::MS:28:54: 5, 0, 5	54::MS:28:37: 0, 5, 5
act 2 scene 2: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 2 scene 2: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 2 scene 2: sp: l 533	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 535	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 537	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 541	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: div: stage	MS::28:37:54: 17, 17, 13	28::MS:37:54: 17, 0, 4	37::MS:28:54: 17, 0, 4	54::MS:28:37: 13, 4, 4
act 2 scene 2: sp: stage	MS::28:37:54: 23, 23, 23	28::MS:37:54: 23, 0, 0	37::MS:28:54: 23, 0, 0	54::MS:28:37: 23, 0, 0
act 2 scene 2: sp: l 544	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 23, 23, 23	28::MS:37:54: 23, 0, 0	37::MS:28:54: 23, 0, 0	54::MS:28:37: 23, 0, 0
act 2 scene 2: sp: l 549	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 552	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 554	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 0	37::MS:28:54: 3, 0, 0	54::MS:28:37: 3, 0, 0
act 2 scene 2: sp: l 555	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 556	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 560	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 561	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 562	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 563	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 564	MS::28:37:54: 0, 0, 1	28::MS:37:54: 0, 0, 1	37::MS:28:54: 0, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 564	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 565	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 565	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 567	MS::28:37:54: 2, 2, 4	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 4, 2, 2
act 2 scene 2: l: stage	MS::28:37:54: 31, 31, 19	28::MS:37:54: 31, 0, 12	37::MS:28:54: 31, 0, 12	54::MS:28:37: 19, 12, 12
act 2 scene 2: sp: l 567	MS::28:37:54: 0, 0, 2	28::MS:37:54: 0, 0, 2	37::MS:28:54: 0, 0, 2	54::MS:28:37: 2, 2, 2
act 2 scene 2: sp: l 567	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 568	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 569	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 571	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 572	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 576	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 577	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 578	MS::28:37:54: 3, 3, 0	28::MS:37:54: 3, 0, 3	37::MS:28:54: 3, 0, 3	54::MS:28:37: 0, 3, 3
act 2 scene 2: sp: l 580	MS::28:37:54: 1, 0, 0	28::MS:37:54: 1, 1, 1	37::MS:28:54: 0, 1, 0	54::MS:28:37: 0, 1, 0
act 2 scene 2: sp: l 581	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: l 582	MS::28:37:54: 1, 0, 0	28::MS:37:54: 1, 1, 1	37::MS:28:54: 0, 1, 0	54::MS:28:37: 0, 1, 0
act 2 scene 2: sp: l 582	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 583	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 584	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 2, 1, 1
act 2 scene 2: sp: l 587	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 588	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 589	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 591	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 592	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 594	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 2, 1, 1
act 2 scene 2: sp: l 595	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 595	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 597	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 597	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 598	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 598	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 598	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 599	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: l 600	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 600	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 600	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: div: stage	MS::28:37:54: 19, 19, 19	28::MS:37:54: 19, 0, 0	37::MS:28:54: 19, 0, 0	54::MS:28:37: 19, 0, 0
act 2 scene 2: sp: l 603	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 606	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 9, 9, 0	28::MS:37:54: 9, 0, 9	37::MS:28:54: 9, 0, 9	54::MS:28:37: 0, 9, 9
act 2 scene 2: sp: stage	MS::28:37:54: 26, 26, 22	28::MS:37:54: 26, 0, 4	37::MS:28:54: 26, 0, 4	54::MS:28:37: 22, 4, 4
act 2 scene 2: sp: stage	MS::28:37:54: 10, 10, 10	28::MS:37:54: 10, 0, 0	37::MS:28:54: 10, 0, 0	54::MS:28:37: 10, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 2, 2, 0	28::MS:37:54: 2, 0, 2	37::MS:28:54: 2, 0, 2	54::MS:28:37: 0, 2, 2
act 2 scene 2: sp: l 610	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 616	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 620	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 620	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 621	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 623	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 624	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 625	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: l 632	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 633	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 633	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 634	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 639	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 642	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 647	MS::28:37:54: 11, 11, 11	28::MS:37:54: 11, 0, 0	37::MS:28:54: 11, 0, 0	54::MS:28:37: 11, 0, 0
act 2 scene 2: sp: l 658	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 659	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 661	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 671	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 672	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 673	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 1, 1, 1
act 2 scene 2: sp: l 675	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 676	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 678	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 685	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 687	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 25, 25, 25	28::MS:37:54: 25, 0, 0	37::MS:28:54: 25, 0, 0	54::MS:28:37: 25, 0, 0
act 2 scene 2: sp: l 689	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 689	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 690	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 691	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 15, 15, 15	28::MS:37:54: 15, 0, 0	37::MS:28:54: 15, 0, 0	54::MS:28:37: 15, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 25, 25, 16	28::MS:37:54: 25, 0, 9	37::MS:28:54: 25, 0, 9	54::MS:28:37: 16, 9, 9
act 2 scene 2: sp: l 695	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 695	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 695	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 696	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 696	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 1	37::MS:28:54: 2, 0, 1	54::MS:28:37: 2, 1, 1
act 2 scene 2: sp: l 697	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: stage	MS::28:37:54: 9, 9, 9	28::MS:37:54: 9, 0, 0	37::MS:28:54: 9, 0, 0	54::MS:28:37: 9, 0, 0
act 2 scene 2: sp: l 698	MS::28:37:54: 3, 3, 3	28::MS:37:54: 3, 0, 0	37::MS:28:54: 3, 0, 0	54::MS:28:37: 3, 0, 0
act 2 scene 2: sp: l 699	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 702	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
act 2 scene 2: sp: l 703	MS::28:37:54: 2, 2, 1	28::MS:37:54: 2, 0, 3	37::MS:28:54: 2, 0, 3	54::MS:28:37: 1, 3, 3
act 2 scene 2: sp: stage	MS::28:37:54: 114, 114, 104	28::MS:37:54: 114, 0, 10	37::MS:28:54: 114, 0, 10	54::MS:28:37: 104, 10, 10
act 2 scene 2: sp: l 705	MS::28:37:54: 1, 1, 3	28::MS:37:54: 1, 0, 3	37::MS:28:54: 1, 0, 3	54::MS:28:37: 3, 3, 3
act 2 scene 2: sp: l 706	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 706	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 707	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 707	MS::28:37:54: 1, 1, 0	28::MS:37:54: 1, 0, 1	37::MS:28:54: 1, 0, 1	54::MS:28:37: 0, 1, 1
act 2 scene 2: sp: l 707	MS::28:37:54: 1, 1, 1	28::MS:37:54: 1, 0, 0	37::MS:28:54: 1, 0, 0	54::MS:28:37: 1, 0, 0
act 2 scene 2: sp: l 708	MS::28:37:54: 2, 2, 2	28::MS:37:54: 2, 0, 0	37::MS:28:54: 2, 0, 0	54::MS:28:37: 2, 0, 0
