Location	msR	R1828	R1837	R1854	
act 2 scene 1: sp: l 440	!	?	?	?	
act 2 scene 1: sp: l 441	Aye	Ay	Ay	Ay	
act 2 scene 1: sp: l 442		,	,	,	
act 2 scene 1: sp: l 445	Hatred	hatred—	hatred—	hatred,	
act 2 scene 1: sp: l 446	Danger;	danger—	danger—	danger,	
act 2 scene 1: sp: l 447	;	—	—	,	
act 2 scene 1: sp: l 448	. Your	: your	: your	: your	
act 2 scene 1: sp: l 450	Interest	interest	interest	interest	
act 2 scene 1: sp: l 450	Time	time	time	time	
act 2 scene 1: sp: l 451	Temper	temper,	temper,	temper,	
act 2 scene 1: sp: l 451		,	,	,	
act 2 scene 1: sp: l 451		,	,	,	
act 2 scene 1: sp: l 452	Love	love	love	love	
act 2 scene 1: sp: l 452	Hate	hate,	hate,	hate,	
act 2 scene 1: sp: l 453	;	—	—	,	
act 2 scene 1: sp: l 453		,	,	,	
act 2 scene 1: sp: l 455	.	—	—	,	
act 2 scene 1: sp: l 459		,	,	,	
act 2 scene 1: sp: l 459		,	,	,	
act 2 scene 1: sp: l 460		,	,	,	
act 2 scene 1: sp: l 462	?	!	!	?	
act 2 scene 1: div: stage		Gives the Scroll.	Gives the Scroll.	Gives the Scroll.	
act 2 scene 1: sp: l 467	seize	sieze	seize	seize	
act 2 scene 1: sp: l 469	-				
act 2 scene 1: sp: l 469		.	.		
act 2 scene 1: sp: l 472	!	,	,	,	
act 2 scene 1: sp: l 473				,	
act 2 scene 1: sp: l 475		. —	. —	—	
act 2 scene 1: sp: l 480		,	,	,	
act 2 scene 1: sp: l 480		,	,	,	
act 2 scene 1: sp: l 481	; the	.—The	.—The	, the	
act 2 scene 1: sp: l 482	;	,	,	,	
act 2 scene 1: sp: l 483		—	—	—	
act 2 scene 1: sp: l 483		—	—	—	
act 2 scene 1: div: stage		Crosses to C.	Crosses to C.		
act 2 scene 1: sp: stage		R.	R.		
act 2 scene 1: sp: l 484		,	,	,	
act 2 scene 1: sp: l 485		,	,	,	
act 2 scene 1: l: stage		Crossing to Lady C.	Crossing to Lady C.		
act 2 scene 1: sp: l 485		,	,	,	
act 2 scene 1: sp: l 487	gaily	gayly	gayly	gaily	
act 2 scene 1: sp: l 488		,	,	,	
act 2 scene 1: sp: l 489	mandolines	Mandolines	Mandolines	mandolines	
act 2 scene 1: sp: l 489		,	,	,	
act 2 scene 1: sp: l 490	Beauty’s	beauty’s	beauty’s	beauty’s	
act 2 scene 1: sp: l 491	Hath	Has	Has	Hath	
act 2 scene 1: sp: l 494	—				
act 2 scene 1: sp: l 496	,	—	—	—	
act 2 scene 1: sp: l 500		,	,	,	
act 2 scene 1: sp: l 500		.—	.—	;	
act 2 scene 1: sp: l 501		,	,	,	
act 2 scene 1: sp: l 501	thou	thou	thou	ye	
act 2 scene 1: sp: l 501	thy	thy	thy	your	
act 2 scene 1: sp: l 505	?	,	,	,	
act 2 scene 1: sp: l 506		;	;		
act 2 scene 1: sp: l 507		,	,	,	
act 2 scene 1: sp: l 507		,	,	,	
act 2 scene 1: sp: l 507		—	—	—	
act 2 scene 1: sp: l 507		,	,	,	
act 2 scene 1: sp: l 507		—	—	—	
act 2 scene 1: sp: l 508	;	!	!	!	
act 2 scene 1: div: stage	Rienzi	, L	, L		
act 2 scene 1: sp: stage		Crossing to L.	Crossing to L.		
act 2 scene 1: sp: l 509	—	?	?	?	
act 2 scene 1: l: stage		Calling after Rienzi.	Calling after Rienzi.	Calling after Rienzi.	
act 2 scene 1: sp: l 509	.	?	?	!	
act 2 scene 1: sp: l 514		,	,	,	
act 2 scene 1: sp: l 515	.	:	:	:	
act 2 scene 1: sp: l 516	.	,—	,—	,—	
act 2 scene 1: sp: l 519		,	,	,	
act 2 scene 1: sp: l 521		—	—	—	
act 2 scene 1: sp: l 521		,	,	,	
act 2 scene 1: sp: l 521		,	,	,	
act 2 scene 1: sp: l 522	.	!	!	!	
act 2 scene 1: div: stage		, L	, L		
act 2 scene 2: div: stage		—	—	—	
act 2 scene 2: div: stage	back-ground	background	background	background	
act 2 scene 2: sp: stage		R.	R.		
act 2 scene 2: sp: stage		R. C.	R. C.		
act 2 scene 2: sp: stage		R.	R.		
act 2 scene 2: sp: stage		C.	C.		
act 2 scene 2: sp: l 533		,	,	,	
act 2 scene 2: sp: l 535		,	,	,	
act 2 scene 2: sp: l 537		,	,	,	
act 2 scene 2: sp: l 541	over-cast	overcast	overcast	overcast	
act 2 scene 2: div: stage		from the back , C	from the back , C	from the back	
act 2 scene 2: sp: stage		Advancing to the front.	Advancing to the front.	Advancing to the front.	
act 2 scene 2: sp: l 544	thunder cloud	thunder-cloud,	thunder-cloud,	thunder-cloud,	
act 2 scene 2: sp: stage		All the Citizens shout.	All the Citizens shout.	All the Citizens shout.	
act 2 scene 2: sp: l 549	—				
act 2 scene 2: sp: l 552	!	,	,	,	
act 2 scene 2: sp: l 554	—we	. We	. We	. We	
act 2 scene 2: sp: l 555		,	,	,	
act 2 scene 2: sp: l 556		—	—		
act 2 scene 2: sp: l 560		—	—		
act 2 scene 2: sp: l 561	,	;	;	,	
act 2 scene 2: sp: l 562		—	—		
act 2 scene 2: sp: l 563		—	—		
act 2 scene 2: sp: l 564	—	—	—	,	
act 2 scene 2: sp: l 564	Fraud	fraud	fraud	fraud	
act 2 scene 2: sp: l 565	Rapine	rapine	rapine	rapine	
act 2 scene 2: sp: l 565	Murder	murder	murder	murder	
act 2 scene 2: sp: l 567		,—	,—	. ,—	
act 2 scene 2: l: stage		Pointing to Paolo , R. corner .	Pointing to Paolo , R. corner .	Pointing to Paolo .	
act 2 scene 2: sp: l 567	—there	—there	—there	There	
act 2 scene 2: sp: l 567	!	,	,	,	
act 2 scene 2: sp: l 568	,	,—	,—	,	
act 2 scene 2: sp: l 569	,	;	;	,	
act 2 scene 2: sp: l 571		,	,	,	
act 2 scene 2: sp: l 572		,	,	,	
act 2 scene 2: sp: l 576		,	,	,	
act 2 scene 2: sp: l 577		—	—		
act 2 scene 2: sp: l 578	. There	—“there	—“there	. There	
act 2 scene 2: sp: l 580		”			
act 2 scene 2: sp: l 581	, younger	! Younger	! Younger	! Younger	
act 2 scene 2: sp: l 582		”			
act 2 scene 2: sp: l 582		;	;	;	
act 2 scene 2: sp: l 583	,	,—	,—	,	
act 2 scene 2: sp: l 584	;—	.”	.”	.	
act 2 scene 2: sp: l 587		!	!		
act 2 scene 2: sp: l 588		—	—		
act 2 scene 2: sp: l 589		—	—		
act 2 scene 2: sp: l 591	,	;	;	;	
act 2 scene 2: sp: l 592		,	,	,	
act 2 scene 2: sp: l 594	;—	.	.	!	
act 2 scene 2: sp: l 595		,	,	,	
act 2 scene 2: sp: l 595		,	,	,	
act 2 scene 2: sp: l 597		,	,	,	
act 2 scene 2: sp: l 597		,	,	,	
act 2 scene 2: sp: l 598	—			—	
act 2 scene 2: sp: l 598		,	,	,	
act 2 scene 2: sp: l 598		,	,	,	
act 2 scene 2: sp: l 599	Eternal City	eternal city	eternal city	eternal city	
act 2 scene 2: sp: l 600	Princes	princes	princes	princes	
act 2 scene 2: sp: l 600	tomorrow’s	to-morrow’s	to-morrow’s	to-morrow’s	
act 2 scene 2: sp: l 600		,	,	,	
act 2 scene 2: div: stage	Enter Angelo Colonna	Citizens retire back.	Citizens retire back.	Citizens retire back.	
act 2 scene 2: sp: l 603		,	,	,	
act 2 scene 2: sp: l 606		—	—	—	
act 2 scene 2: sp: stage		, R. U. E	, R. U. E		
act 2 scene 2: sp: stage		Enter Angelo Colonna , L .	Enter Angelo Colonna , L .	Enter Angelo Colonna .	
act 2 scene 2: sp: stage		To Angelo.	To Angelo.	To Angelo.	
act 2 scene 2: sp: stage		L.	L.		
act 2 scene 2: sp: l 610		,	,	,	
act 2 scene 2: sp: l 616		,	,	,	
act 2 scene 2: sp: l 620	Aye	Ay,	Ay,	Ay,	
act 2 scene 2: sp: l 620	!	,—	,—	,	
act 2 scene 2: sp: l 621	!	.	.	.	
act 2 scene 2: sp: l 623		,	,	,	
act 2 scene 2: sp: l 624	Temple	temple	temple	temple	
act 2 scene 2: sp: l 625	Freedom.	freedom?	freedom?	freedom?	
act 2 scene 2: sp: l 632		,	,	,	
act 2 scene 2: sp: l 633	—	.	.	.	
act 2 scene 2: sp: l 633		—	—		
act 2 scene 2: sp: l 634	!	,	,	,	
act 2 scene 2: sp: l 639	,	—	—	,	
act 2 scene 2: sp: l 642		,	,	,	
act 2 scene 2: sp: l 647	impatient patience	suppressed impatience	suppressed impatience	suppressed impatience	
act 2 scene 2: sp: l 658		—	—		
act 2 scene 2: sp: l 659		—	—	,	
act 2 scene 2: sp: l 661	,	;	;	;	
act 2 scene 2: sp: l 671		,—	,—	,	
act 2 scene 2: sp: l 672	hest	hist,	hist,	hest,	
act 2 scene 2: sp: l 673		,—	,—	,	
act 2 scene 2: sp: l 675	—	,	,	,	
act 2 scene 2: sp: l 676	,	,—	,—	,—	
act 2 scene 2: sp: l 678		—	—	—	
act 2 scene 2: sp: l 685		,	,	,	
act 2 scene 2: sp: l 687	.	:	:	:	
act 2 scene 2: sp: stage		Gives his hand to Rienzi.	Gives his hand to Rienzi.	Gives his hand to Rienzi.	
act 2 scene 2: sp: l 689	!	,	,	,	
act 2 scene 2: sp: l 689	!	,	,	,	
act 2 scene 2: sp: l 690		,	,	,	
act 2 scene 2: sp: l 691		,	,	,	
act 2 scene 2: sp: stage	Citizens.	All the Citizens shout—	All the Citizens shout—	All the Citizens shout—	
act 2 scene 2: sp: stage		Coming forward R. and L .	Coming forward R. and L .	Coming forward .	
act 2 scene 2: sp: l 695	!	—	—	—	
act 2 scene 2: sp: l 695	!	—	—	—	
act 2 scene 2: sp: l 695		,	,	,	
act 2 scene 2: sp: l 696	Deliverer	deliverer	deliverer	deliverer	
act 2 scene 2: sp: l 696	Consul?	consul—	consul—	consul,	
act 2 scene 2: sp: l 697	? Emperor	, emperor	, emperor	, emperor	
act 2 scene 2: sp: stage	Citizens.	—	—	—	
act 2 scene 2: sp: l 698		&c.	&c.	&c.	
act 2 scene 2: sp: l 699	.	:	:	:	
act 2 scene 2: sp: l 702	.	,—	,—	,—	
act 2 scene 2: sp: l 703	Tribune of the People;	tribune of the people;	tribune of the people;	Tribune of the People:	
act 2 scene 2: sp: stage	Citizens. Hail to our Tribune!	The Citizens shout—Hail to our Tribune! The bell sounds thrice; shouts again; and a military band is heard playing a march without , R. U. E .	The Citizens shout—Hail to our Tribune! The bell sounds thrice; shouts again; and a military band is heard playing a march without , R. U. E .	The Citizens shout—Hail to our Tribune! The bell sounds thrice; shouts again; and a military band is heard playing a march without .	
act 2 scene 2: sp: l 705	Hark,	Hark—	Hark—	Ha!	
act 2 scene 2: sp: l 706	,	—	—	,	
act 2 scene 2: sp: l 706		,	,	,	
act 2 scene 2: sp: l 707		,	,	,	
act 2 scene 2: sp: l 707	,	—	—	,	
act 2 scene 2: sp: l 707		,	,	,	
act 2 scene 2: sp: l 708	Heaven	heaven,	heaven,	heaven,	
act 2 scene 2: sp: l 709	reborn	re-born,	re-born,	re-born,	
act 2 scene 2: sp: l 709		,	,	,	
act 2 scene 2: sp: l 712		,	,	,	
act 2 scene 2: sp: stage	is thrown open	opens, C. F.,	opens, C. F.,	opens,	
act 2 scene 2: sp: stage	people	People	People	People	
act 2 scene 2: sp: l 714	!	.	.	.	
act 2 scene 2: sp: l 714		,	,	,	
act 2 scene 2: sp: l 715	!	—	—	,	
act 2 scene 2: sp: l 715	!	—	—	,	
act 2 scene 2: sp: l 716	!	.	.	.	
act 2 scene 2: sp: l 716	!	,	,	,	
act 2 scene 2: sp: l 716	!	,	,	,	
act 2 scene 2: sp: l 717	—				
act 2 scene 2: sp: l 718	,	—	—	,	
act 2 scene 2: sp: l 719	,	;	;	;	
act 2 scene 2: sp: l 719		,	,	,	
act 2 scene 2: sp: l 720		,	,	,	
act 2 scene 2: sp: l 721		,	,	,	
act 2 scene 2: sp: l 722	,	!	!	!	
act 2 scene 2: sp: l 722		,	,	,	
act 2 scene 2: sp: l 723	!	;	;	;	
act 2 scene 2: sp: l 723	Come	come	come	Come	
act 2 scene 2: sp: l 725	! Live	—live	—live	—live	
act 2 scene 2: div: stage		through the gates , in the centre of the flat, into the Capitol	through the gates , in the centre of the flat, into the Capitol	through the gates into the Capitol	
act 2 scene 2: div: stage	End of the Second Act	END OF ACT II.	END OF ACT II.	END OF ACT II.	
  act 3: div: head	Act the Third	ACT III.	ACT III.	ACT III.	
act 3 scene 1: div: stage		R.,	R.,		
act 3 scene 1: div: stage	.	—	—	—	
act 3 scene 1: div: stage		L.,	L.,		
act 3 scene 1: div: stage	in front;				
act 3 scene 1: div: stage	advancing	who advances	who advances	who advances	
act 3 scene 1: sp: stage	one coming down from the Steps	Second Cit. , R.	Second Cit. , R.	Second Cit.	
act 3 scene 1: sp: stage		C.	C.		
act 3 scene 1: sp: stage	one whom he meets	First Cit.	First Cit.	First Cit.	
act 3 scene 1: sp: l 728	good day	good day !	good day !	fair day.	
act 3 scene 1: sp: l 729	! Thou’art	, thou’rt	, thou’rt	, thou’rt	
act 3 scene 1: sp: stage		L.	L.		
act 3 scene 1: sp: l 738	!	?	?	?	
act 3 scene 1: sp: l 743	;	—	—	,	
act 3 scene 1: sp: l 744	;	,	,	,	
act 3 scene 1: sp: l 744	;	—	—	,	
act 3 scene 1: sp: l 745	Emperor	emperor	emperor	emperor	
act 3 scene 1: sp: l 749	Aye	Ay,	Ay,	Ay,	
act 3 scene 1: sp: stage	then to one passing	To Cit. passing from the Hall ,R .	To Cit. passing from the Hall ,R .	To Cit. passing from the Hall .	
act 3 scene 1: div: stage		Crosses , L. and exit.	Crosses , L. and exit.	Crosses and exit.	
act 3 scene 1: sp: l 752	—				
act 3 scene 1: sp: l 755	. Now	: now	: now	; now	
act 3 scene 1: sp: l 759	;	—	—	,	
act 3 scene 1: sp: l 760	;	—	—	,	
act 3 scene 1: sp: l 760	Pope;	pope—	pope—	pope,	
act 3 scene 1: sp: l 761	Barons	barons	barons	barons	
act 3 scene 1: sp: l 762	Aye;	Ay,	Ay,	Ay,	
act 3 scene 1: sp: l 763	;	.	.	.	
act 3 scene 1: div: stage	and persons	the court—Persons	the court—Persons	the court—Persons	
act 3 scene 1: div: stage	down the steps	out	out	out	
act 3 scene 1: sp: stage		To a Citizen, passing.	To a Citizen, passing.	To a Citizen, passing.	
act 3 scene 1: sp: l 766	?	.	.	?	
act 3 scene 1: div: stage	More shouts and more persons passing from the court over the stage.	Persons passing from the Court of Justice over the Stage.	Persons passing from the Court of Justice over the Stage.	Persons passing from the Court of Justice over the Stage.	
act 3 scene 1: div: stage		and	and	and	
act 3 scene 1: div: stage		, R. U. E	, R. U. E		
act 3 scene 1: div: stage		All shout when Rienzi is in the front.	All shout when Rienzi is in the front.	All shout when Rienzi is in the front.	
act 3 scene 1: sp: stage		R. C.	R. C.		
act 3 scene 1: sp: stage		C.	C.		
act 3 scene 1: sp: l 780	!	.—	.—	.—	
act 3 scene 1: sp: l 781	!	.	.	.	
act 3 scene 1: sp: l 782	Aye	Ay	Ay	Ay	
act 3 scene 1: sp: l 783	your’s—	yours:	yours:	yours:	
act 3 scene 1: sp: l 783		,	,	,	
act 3 scene 1: div: stage	Exit				
act 3 scene 1: sp: l 787	great	just	just	just	
act 3 scene 1: sp: l 787	!	.	.	!	
act 3 scene 1: div: stage		Shout—Exit Rienzi , L., with Citizens.	Shout—Exit Rienzi , L., with Citizens.	Shout—Exit Rienzi with Citizens.	
act 3 scene 1: sp: stage		R.	R.		
act 3 scene 1: sp: l 789	. He	: he	: he	: he	
act 3 scene 1: sp: l 790	Despot	despot	despot	despot	
act 3 scene 1: sp: stage		C.	C.		
act 3 scene 1: sp: l 792	Freesom’s	freedom’s	freedom’s	freedom’s	
act 3 scene 1: sp: l 792	!	.	.	.	
act 3 scene 1: sp: l 792	! Yes	, yes	, yes	, yes	
act 3 scene 1: sp: l 795	Churl’s	churl’s	churl’s	churl’s	
act 3 scene 1: sp: l 796	!	;	;	;	
act 3 scene 1: div: stage		, R	, R		
act 3 scene 2: div: stage		—A couch, C.	—A couch, C.		
act 3 scene 2: div: stage		Enter	Enter	Enter	
act 3 scene 2: div: stage	all excepting	.—All but	.—All but	.—All but	
act 3 scene 2: div: stage	occupied in embroidery and different needleworks	embroidering, &c	embroidering, &c	embroidering, &c	
act 3 scene 2: sp: stage		R. C.	R. C.		
act 3 scene 2: sp: l 798		,	,	,	
act 3 scene 2: sp: stage		C.	C.		
act 3 scene 2: sp: l 804	. Rather	; rather	; rather	; rather	
act 3 scene 2: sp: l 807		,	,	,	
act 3 scene 2: sp: l 807	?	.	.	.	
act 3 scene 2: sp: l 808	.	,	,	,	
act 3 scene 2: div: stage		Goes to the couch , C. , and sits.	Goes to the couch , C. , and sits.	Goes to the couch , and sits.	
act 3 scene 2: sp: l 810	red-rose is Queen	red rose is queen	red rose is queen	red rose is queen	
act 3 scene 2: sp: l 810		,	,	,	
act 3 scene 2: sp: l 815		,	,	,	
act 3 scene 2: sp: l 816	violet bud	violet-bud,—	violet-bud,—	violet-bud,—	
act 3 scene 2: sp: l 820		,	,	,	
act 3 scene 2: sp: l 821	.	:	:	:	
act 3 scene 2: sp: l 823		,	,	,	
act 3 scene 2: sp: l 824		—	—	—	
act 3 scene 2: sp: l 827	.	:	:	:	
act 3 scene 2: sp: l 828		,—	,—	,	
act 3 scene 2: sp: l 832		”	”		
act 3 scene 2: sp: l 832		of murder	of murder		
act 3 scene 2: sp: l 833	Of murder to	To	To	Of murder to	
act 3 scene 2: sp: l 833	?	?”	?”	?	
act 3 scene 2: sp: l 835	holy land	Holy Land	Holy Land	Holy Land	
act 3 scene 2: div: stage		, L	, L		
act 3 scene 2: div: stage		Claudia rises hastily.	Claudia rises hastily.	Claudia rises hastily.	
act 3 scene 2: sp: stage	Exeunt Teresa Berta and Rosa	The ladies rise to go out, R.	The ladies rise to go out, R.	The ladies and go out	
act 3 scene 2: sp: l 838		“	“		
act 3 scene 2: sp: l 838	!				
act 3 scene 2: sp: l 838	—				
act 3 scene 2: sp: l 838	.	;		;	
act 3 scene 2: sp: l 839		—	—		
act 3 scene 2: sp: l 840		,	,	,	
act 3 scene 2: sp: l 840		,	,	,	
act 3 scene 2: sp: l 841	, mute	.” Mute	.” Mute	, mute	
act 3 scene 2: sp: l 842	;	,	,	;	
act 3 scene 2: sp: l 842	unseeing	unseeming	unseeming	unseeing	
act 3 scene 2: sp: l 843		;	;	;	
act 3 scene 2: sp: l 844	,				
act 3 scene 2: sp: l 844		,	,	,	
act 3 scene 2: sp: l 844	,	—	—	,	
act 3 scene 2: sp: l 845		,	,	,	
act 3 scene 2: sp: stage		R. C.	R. C.		
act 3 scene 2: sp: l 850		,	,	,	
act 3 scene 2: sp: l 851	,	;	;	;	
act 3 scene 2: sp: l 851		,	,	,	
act 3 scene 2: sp: l 852	blythest	blithest	blithest	blithest	
act 3 scene 2: sp: l 854		!	!	!	
act 3 scene 2: sp: l 855		,	,	,	
act 3 scene 2: sp: l 857		,	,	,	
act 3 scene 2: sp: l 857		,	,	,	
act 3 scene 2: sp: l 858		,	,	,	
act 3 scene 2: sp: l 859		!	!	!	
act 3 scene 2: sp: l 861	,	;	;	;	
act 3 scene 2: sp: l 861		,	,	,	
act 3 scene 2: sp: l 864		;	;	;	
act 3 scene 2: sp: l 865		!	!	!	
act 3 scene 2: sp: l 866		,	,	,	
act 3 scene 2: sp: l 868	,	;	;	;	
act 3 scene 2: sp: l 869		"	"		
act 3 scene 2: sp: l 869		’	’	’	
act 3 scene 2: sp: l 869		,	,	,	
act 3 scene 2: sp: l 870		,	,	,	
act 3 scene 2: sp: l 871		,	,	,	
act 3 scene 2: sp: l 871		,	,	,	
act 3 scene 2: sp: l 875		"	"		
act 3 scene 2: sp: l 876	— Emperors, Kings	, — emperors, kings,	, — emperors, kings,	,  emperors, kings,	
act 3 scene 2: sp: l 877	Princes	princes	princes	princes	
act 3 scene 2: sp: l 878	christendom	Christendom	Christendom	Christendom	
act 3 scene 2: sp: l 881	chuse	choose	choose	choose	
act 3 scene 2: sp: l 883	tell tales	tell-tales	tell-tales	tell-tales	
act 3 scene 2: sp: l 885		,	,	,	
act 3 scene 2: sp: l 885		,	,	,	
act 3 scene 2: sp: l 888	,	;	;	;	
act 3 scene 2: sp: l 889		,	,	,	
act 3 scene 2: sp: l 890		,	,	,	
act 3 scene 2: sp: l 890		,	,	,	
act 3 scene 2: sp: l 891	?	.	.	.	
act 3 scene 2: sp: l 892		,	,	,	
act 3 scene 2: sp: l 894	Dost	Do’st	Do’st	Dost	
act 3 scene 2: sp: l 894		,	,	,	
act 3 scene 2: sp: l 896	Dost	Do’st	Do’st	Dost	
act 3 scene 2: sp: l 897		—	—	,	
act 3 scene 2: sp: l 898		,	,	,	
act 3 scene 2: sp: l 900	.	;	;	;	
act 3 scene 2: sp: l 900	dear-one.	dear one;	dear one;	dear one:	
act 3 scene 2: sp: l 901	casement myrtle-wreathed	casement-myrtle wreathed	casement-myrtle wreathed	casement myrtle-wreathed	
act 3 scene 2: sp: l 902		,	,	,	
act 3 scene 2: sp: l 902	tonight	to-night	to-night	to-night	
act 3 scene 2: sp: l 904		,	,	,	
act 3 scene 2: sp: l 905		,	,	,	
act 3 scene 2: sp: l 906		,	,	,	
act 3 scene 2: sp: l 906		,	,	,	
act 3 scene 2: sp: l 908		,	,	,	
act 3 scene 2: sp: l 908	. Never Princess	; never princess	; never princess	; never princess	
act 3 scene 2: sp: l 911	Eagle’s	eagle’s	eagle’s	eagle’s	
act 3 scene 2: sp: l 914	Barons	barons	barons	barons	
act 3 scene 2: sp: l 916	Father	father	father	father	
act 3 scene 2: sp: l 918		,	,	,	
act 3 scene 2: sp: l 918	. Whom	, whom	, whom	, whom	
act 3 scene 2: sp: l 919		.	.	.	
act 3 scene 2: sp: l 919		,	,	,	
act 3 scene 2: sp: l 920		,	,	,	
act 3 scene 2: div: stage		, R	, R		
act 3 scene 3: div: stage		R.,	R.,		
act 3 scene 3: div: stage		, R. and L.	, R. and L.		
act 3 scene 3: sp: stage		R.	R.		
act 3 scene 3: sp: l 923		,	,	,	
act 3 scene 3: sp: l 924	;	,	,	,	
act 3 scene 3: sp: l 925	Barons	, barons	, barons	, barons	
act 3 scene 3: sp: l 927		—	—	—	
act 3 scene 3: sp: l 928		,	,	,	
act 3 scene 3: sp: l 928	Plead! plead!	Plead for him.	Plead for him.	Plead for him.	
act 3 scene 3: sp: l 930	. Most	—most	—most	, most	
act 3 scene 3: sp: l 932	;	,—	,—	,	
act 3 scene 3: sp: stage		C.	C.		
act 3 scene 3: sp: l 935		,	,	,	
act 3 scene 3: sp: stage		, L	, L		
act 3 scene 3: sp: l 939	?	.	.	.	
act 3 scene 3: sp: l 940	. ’Tis	! ’tis	! ’tis	! ’Tis	
act 3 scene 3: sp: stage		Goes up to Ursini	Goes up to Ursini	Goes up to Ursini	
act 3 scene 3: sp: l 941	.	!	!	!	
act 3 scene 3: sp: l 941	!	—	—	,	
act 3 scene 3: sp: l 942	! Yet	—yet	—yet		
act 3 scene 3: div: stage		Music without , R .	Music without .	Music without , R .	
act 3 scene 3: div: stage	—	, R.,	, R.,	,	
act 3 scene 3: sp: stage		R.	R.		
act 3 scene 3: sp: l 947		,	,	,	
act 3 scene 3: sp: l 953	asked	asked	asked	ask’d	
act 3 scene 3: sp: l 953	your	thy	thy	thy	
act 3 scene 3: sp: l 954	missives	missions	missions	missives	
act 3 scene 3: sp: l 954	Pontiff	pontiff	pontiff	pontiff	
act 3 scene 3: sp: l 954	—	,—	,—	,—	
act 3 scene 3: sp: stage		L.	L.		
act 3 scene 3: sp: l 955		,	,	,	
act 3 scene 3: sp: l 955	,	.	.	,	
act 3 scene 3: sp: l 956	Sea-Queen	sea-queen	sea-queen	sea-queen	
act 3 scene 3: sp: l 956	—				
act 3 scene 3: sp: l 958	!	,		! ,	
act 3 scene 3: sp: l 958	!	,		! ,	
act 3 scene 3: sp: stage		R.	R.		
act 3 scene 3: sp: l 962	you.	thee.—	thee.—	thee.	
act 3 scene 3: sp: stage		C.	C.		
act 3 scene 3: sp: l 963		.	.		
act 3 scene 3: sp: l 964	!	,	,	,	
act 3 scene 3: sp: l 965		.	.		
act 3 scene 3: div: stage		Crosses to Angelo, in R. corner.—Colonna goes up.	Crosses to Angelo, in R. corner.—Colonna goes up.		
act 3 scene 3: sp: l 966		,	,	,	
act 3 scene 3: sp: l 967		,	,	,	
act 3 scene 3: sp: stage		, R	, R		
act 3 scene 3: sp: stage		R.	R.		
act 3 scene 3: sp: l 975	Aye	Ay	Ay	Ay	
act 3 scene 3: sp: l 976	,	—	—	—	
act 3 scene 3: sp: l 978	Estate	estate	estate	estate	
act 3 scene 3: div: stage		Crossing to C.	Crossing to C.		
act 3 scene 3: sp: l 979	—	.	.	.	
act 3 scene 3: sp: l 983		,	,	,	
act 3 scene 3: sp: l 983	—	.	.	.	
act 3 scene 3: sp: l 985	—	.	.	.	
act 3 scene 3: sp: l 986	Aye	Ay,	Ay,	Ay,	
act 3 scene 3: sp: l 987		,	,	,	
act 3 scene 3: sp: l 989		,	,	,	
act 3 scene 3: sp: l 993		,	,	,	
act 3 scene 3: sp: l 993		,	,	,	
act 3 scene 3: sp: l 993		,	,	,	
act 3 scene 3: sp: l 994	,				
act 3 scene 3: sp: stage		R.	R.		
act 3 scene 3: div: stage		Crossing to Rienzi.	Crossing to Rienzi.		
act 3 scene 3: sp: l 999	dar’st	darest	darest	dar’st	
act 3 scene 3: sp: l 999		,	,	,	
act 3 scene 3: sp: l 1000		,	,	,	
act 3 scene 3: sp: l 1001	Thine	thine	thine	Thine	
act 3 scene 3: sp: l 1004	Breathed	Breath’d	Breath’d	Breath’d	
act 3 scene 3: sp: l 1006	Didst	didst	didst	Didst	
act 3 scene 3: sp: l 1007	;	,	,	,	
act 3 scene 3: sp: l 1008	;	,	,	,	
act 3 scene 3: sp: l 1008	.	!—	!—	!—	
act 3 scene 3: sp: l 1008		—	—	—	
act 3 scene 3: sp: l 1011	.	!	!	.	
act 3 scene 3: sp: l 1014		,	,	,	
act 3 scene 3: sp: l 1015		,	,	,	
act 3 scene 3: sp: l 1015		—	—		
act 3 scene 3: sp: l 1016	Holy Father	holy pontiff	holy pontiff	holy pontiff	
act 3 scene 3: sp: l 1017	Emperors	emperors	emperors	emperors	
act 3 scene 3: sp: l 1017		,	,	,	
act 3 scene 3: sp: l 1020		,	,	,	
act 3 scene 3: sp: l 1023	bridle rein	bridle-rein	bridle-rein	bridle-rein	
act 3 scene 3: sp: l 1024	,	;		, ;	
act 3 scene 3: sp: l 1025	;	:	:	:	
act 3 scene 3: sp: l 1026		,	,	,	
act 3 scene 3: sp: l 1028		,	,	,	
act 3 scene 3: sp: l 1028		,	,	,	
act 3 scene 3: sp: l 1028		,	,	,	
act 3 scene 3: sp: l 1029	piercing	broken	broken	broken	
act 3 scene 3: sp: l 1029	and long shrill screams	and piercing shrieks	and piercing shrieks	and piercing shrieks	
act 3 scene 3: sp: l 1031	No	no	no	No	
act 3 scene 3: sp: l 1032	No	no	no	No	
act 3 scene 3: sp: l 1032	!				
act 3 scene 3: sp: l 1034		—	—		
act 3 scene 3: sp: l 1035	Heaven	heaven	heaven	Heaven	
act 3 scene 3: sp: l 1035		,	,	,	
act 3 scene 3: sp: l 1035	But	but	but	but	
act 3 scene 3: sp: l 1035	No	no	no	No	
act 3 scene 3: sp: l 1036		,	,	,	
act 3 scene 3: sp: l 1039	.	:	:	.	
act 3 scene 3: sp: l 1040	!	,	,	!	
act 3 scene 3: sp: l 1041		,	,	,	
act 3 scene 3: sp: l 1044	,	—	—	,	
act 3 scene 3: sp: l 1046		"	"		
